# RFScore data generated using PDBBind v2015
931,261,356,14,213,59,78,4,135,38,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,262,309,20,0,0,0,0,2050,692,817,39,0,0,0,0,431,144,173,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
966,313,644,9,1001,308,613,9,147,47,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1799,509,638,13,0,0,0,0,615,182,236,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
886,232,401,3,326,85,153,0,327,85,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450,369,691,4,322,89,147,0,651,172,329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,577,857,9,0,0,0,0,1323,378,556,5,0,0,0,0,0,0,0,0,227,61,97,2,0,0,0,0,0,0,0,0,0,0,0,0
997,322,491,30,617,199,276,15,398,121,205,15,0,0,0,0,36,10,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2345,662,983,21,434,116,174,2,1724,471,695,16,0,0,0,0,233,57,87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,358,608,0,157,54,93,0,541,162,269,0,0,0,0,0,0,0,0,0,155,50,82,0,0,0,0,0,0,0,0,0,0,0,0,0
630,175,215,3,0,0,0,0,1379,384,469,7,0,0,0,0,179,51,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1611,514,816,5,141,44,74,1,584,180,274,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3365,1035,1491,11,606,191,276,0,1000,310,449,7,206,63,96,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2151,570,718,0,0,0,0,0,792,210,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,543,637,0,0,0,0,0,581,160,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
849,285,379,13,296,90,117,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1475,341,420,24,0,0,0,0,1240,285,363,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1138,311,468,19,472,139,221,8,1011,260,399,20,0,0,0,0,143,35,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2712,809,1249,26,428,133,196,4,1711,507,771,14,0,0,0,0,417,123,198,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1429,329,527,9,0,0,0,0,1176,271,422,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1136,337,431,11,0,0,0,0,1252,371,496,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769,433,730,12,0,0,0,0,839,204,362,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,382,594,20,283,95,147,5,553,165,273,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2165,580,623,0,417,119,137,0,478,121,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,57,62,0,0,0,0,0
334,118,189,0,0,0,0,0,866,294,468,0,0,0,0,0,196,62,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1512,386,463,0,0,0,0,0,643,159,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1561,517,732,23,305,101,143,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,513,642,0,239,66,73,0,369,104,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
